SampleA	SampleB	N_avail	N_sh	SH_A	SH_B	SH	N_homoDiff	F_homoDiff
ZN01	ZN02	367925	204253	0.8893	0.8667	0.8667	224	0.0006
ZN01	ZN03	361474	180204	0.8018	0.7852	0.7852	6555	0.0181
ZN01	ZN05	370606	205145	0.8887	0.8757	0.8757	151	0.0004
ZN01	ZN06	364579	198079	0.8779	0.886	0.8779	136	0.0004
ZN01	ZN07	342072	169057	0.7976	0.7895	0.7895	6582	0.0192
ZN01	ZN08	381199	194456	0.8161	0.7813	0.7813	6796	0.0178
ZN01	ZN09	373775	205978	0.8849	0.8807	0.8807	163	0.0004
ZN01	ZN10	371785	186092	0.8051	0.7909	0.7909	6961	0.0187
ZN01	ZN11	371780	184041	0.8003	0.7945	0.7945	6818	0.0183
ZN01	ZN12	351712	192850	0.8821	0.8803	0.8803	138	0.0004
ZN01	ZN13	362519	196786	0.877	0.8853	0.877	169	0.0005
ZN01	ZN14	350942	171161	0.7887	0.7927	0.7887	6506	0.0185
ZN01	ZN15	353082	190953	0.8751	0.8885	0.8751	119	0.0003
ZN01	ZN16	359613	197448	0.8841	0.8798	0.8798	161	0.0004
ZN01	ZN17	372305	188000	0.8098	0.7847	0.7847	6773	0.0182
ZN01	ZN18	362034	177381	0.7917	0.7953	0.7917	6635	0.0183
ZN02	ZN03	364413	185748	0.7937	0.7973	0.7937	6525	0.0179
ZN02	ZN05	374417	211165	0.8766	0.8866	0.8766	180	0.0005
ZN02	ZN06	364095	199646	0.8585	0.8888	0.8585	204	0.0006
ZN02	ZN07	343474	172447	0.7845	0.7982	0.7845	6583	0.0192
ZN02	ZN08	385643	201558	0.809	0.7955	0.7955	6824	0.0177
ZN02	ZN09	375462	209533	0.8695	0.8856	0.8695	189	0.0005
ZN02	ZN10	373490	190869	0.795	0.8018	0.795	7015	0.0188
ZN02	ZN11	371915	186289	0.7838	0.8001	0.7838	6888	0.0185
ZN02	ZN12	353710	197330	0.8703	0.8898	0.8703	180	0.0005
ZN02	ZN13	362248	198127	0.8563	0.8877	0.8563	215	0.0006
ZN02	ZN14	351226	172950	0.7726	0.7971	0.7726	6474	0.0184
ZN02	ZN15	352345	192292	0.8558	0.8919	0.8558	206	0.0006
ZN02	ZN16	361174	201517	0.8699	0.8873	0.8699	217	0.0006
ZN02	ZN17	375957	194070	0.8012	0.798	0.798	6795	0.0181
ZN02	ZN18	361846	179607	0.7768	0.8014	0.7768	6581	0.0182
ZN03	ZN05	366178	185258	0.7931	0.7992	0.7931	6580	0.018
ZN03	ZN06	358175	176062	0.776	0.8001	0.776	6545	0.0183
ZN03	ZN07	339555	172815	0.8024	0.8109	0.8024	3260	0.0096
ZN03	ZN08	378153	198865	0.8223	0.803	0.803	3387	0.009
ZN03	ZN09	368365	184429	0.7866	0.7985	0.7866	6587	0.0179
ZN03	ZN10	368125	189526	0.8081	0.8096	0.8081	3611	0.0098
ZN03	ZN11	367672	186871	0.8018	0.8135	0.8018	3414	0.0093
ZN03	ZN12	348167	173731	0.7845	0.7988	0.7845	6479	0.0186
ZN03	ZN13	356368	174869	0.7749	0.7989	0.7749	6505	0.0183
ZN03	ZN14	348769	190972	0.8647	0.8869	0.8647	204	0.0006
ZN03	ZN15	347233	169457	0.7723	0.7997	0.7723	6447	0.0186
ZN03	ZN16	354777	177244	0.7863	0.798	0.7863	6499	0.0183
ZN03	ZN17	369251	192256	0.8156	0.8068	0.8068	3373	0.0091
ZN03	ZN18	358617	196992	0.8668	0.8877	0.8668	202	0.0006
ZN05	ZN06	367616	201251	0.8689	0.8895	0.8689	171	0.0005
ZN05	ZN07	345675	172854	0.7932	0.7956	0.7932	6587	0.0191
ZN05	ZN08	387850	201033	0.8139	0.7909	0.7909	6853	0.0177
ZN05	ZN09	377889	210000	0.8772	0.885	0.8772	171	0.0005
ZN05	ZN10	376177	191059	0.8015	0.7986	0.7986	7017	0.0187
ZN05	ZN11	375220	187399	0.793	0.7993	0.793	6867	0.0183
ZN05	ZN12	355724	197465	0.8775	0.8882	0.8775	146	0.0004
ZN05	ZN13	364807	199378	0.8668	0.8876	0.8668	180	0.0005
ZN05	ZN14	353593	173815	0.7818	0.7969	0.7818	6528	0.0185
ZN05	ZN15	355226	193188	0.8655	0.8902	0.8655	167	0.0005
ZN05	ZN16	363201	202015	0.8782	0.8868	0.8782	188	0.0005
ZN05	ZN17	377450	193342	0.8064	0.793	0.793	6793	0.018
ZN05	ZN18	364578	180508	0.7855	0.8001	0.7855	6593	0.0181
ZN06	ZN07	339892	166011	0.7977	0.7826	0.7826	6596	0.0194
ZN06	ZN08	377965	190109	0.8158	0.7728	0.7728	6851	0.0181
ZN06	ZN09	371777	202888	0.8882	0.8741	0.8741	147	0.0004
ZN06	ZN10	369198	182943	0.8065	0.7851	0.7851	6994	0.0189
ZN06	ZN11	369843	181564	0.8038	0.7903	0.7903	6854	0.0185
ZN06	ZN12	349414	189615	0.884	0.8739	0.8739	136	0.0004
ZN06	ZN13	360806	194502	0.8814	0.8808	0.8808	170	0.0005
ZN06	ZN14	349693	168709	0.7909	0.7866	0.7866	6517	0.0186
ZN06	ZN15	352036	189142	0.8795	0.8843	0.8795	145	0.0004
ZN06	ZN16	357294	194617	0.8864	0.8747	0.8747	166	0.0005
ZN06	ZN17	369255	184107	0.8107	0.7773	0.7773	6794	0.0184
ZN06	ZN18	360560	175067	0.7947	0.7901	0.7901	6606	0.0183
ZN07	ZN08	354628	200272	0.8972	0.8656	0.8656	177	0.0005
ZN07	ZN09	346794	171887	0.7907	0.7932	0.7907	6596	0.019
ZN07	ZN10	347018	179303	0.8232	0.8169	0.8169	219	0.0006
ZN07	ZN11	347467	191773	0.8831	0.8855	0.8831	183	0.0005
ZN07	ZN12	331027	163325	0.7872	0.7935	0.7872	6489	0.0196
ZN07	ZN13	337959	164785	0.7812	0.796	0.7812	6567	0.0194
ZN07	ZN14	330828	164630	0.797	0.8088	0.797	3215	0.0097
ZN07	ZN15	330886	160363	0.7773	0.7978	0.7773	6530	0.0197
ZN07	ZN16	336197	166595	0.7905	0.7945	0.7905	6508	0.0194
ZN07	ZN17	347953	195238	0.8916	0.8723	0.8723	146	0.0004
ZN07	ZN18	339413	169438	0.7983	0.8106	0.7983	3320	0.0098
ZN08	ZN09	390655	200573	0.7848	0.8149	0.7848	6849	0.0175
ZN08	ZN10	391103	208931	0.8148	0.8377	0.8148	243	0.0006
ZN08	ZN11	390218	219458	0.8624	0.897	0.8624	198	0.0005
ZN08	ZN12	363679	185442	0.7804	0.8132	0.7804	6742	0.0185
ZN08	ZN13	376193	189107	0.7722	0.8144	0.7722	6836	0.0182
ZN08	ZN14	364346	186636	0.7871	0.8275	0.7871	3310	0.0091
ZN08	ZN15	364260	181944	0.7691	0.8154	0.7691	6751	0.0185
ZN08	ZN16	373630	191390	0.7834	0.8159	0.7834	6766	0.0181
ZN08	ZN17	393610	226509	0.8759	0.8883	0.8759	174	0.0004
ZN08	ZN18	377270	194008	0.7902	0.8293	0.7902	3438	0.0091
ZN09	ZN10	380544	192109	0.8049	0.7956	0.7956	7022	0.0185
ZN09	ZN11	379815	189165	0.7981	0.7981	0.7981	6820	0.018
ZN09	ZN12	357046	196296	0.878	0.8817	0.878	127	0.0004
ZN09	ZN13	370047	201807	0.8739	0.8871	0.8739	180	0.0005
ZN09	ZN14	357693	175533	0.7871	0.7958	0.7871	6542	0.0183
ZN09	ZN15	359446	195191	0.8721	0.8904	0.8721	130	0.0004
ZN09	ZN16	367300	202508	0.88	0.8817	0.88	160	0.0004
ZN09	ZN17	380811	193825	0.81	0.7894	0.7894	6776	0.0178
ZN09	ZN18	368899	181781	0.7898	0.7984	0.7898	6639	0.018
ZN10	ZN11	379739	196545	0.8189	0.8278	0.8189	268	0.0007
ZN10	ZN12	355342	177958	0.7905	0.8021	0.7905	6866	0.0193
ZN10	ZN13	367740	182171	0.7836	0.8059	0.7836	6948	0.0189
ZN10	ZN14	356871	179596	0.7973	0.8148	0.7973	3548	0.0099
ZN10	ZN15	357238	175928	0.7813	0.8066	0.7813	6902	0.0193
ZN10	ZN16	365017	183556	0.793	0.8029	0.793	6931	0.019
ZN10	ZN17	381290	201682	0.8307	0.8198	0.8198	290	0.0008
ZN10	ZN18	368898	186388	0.7998	0.8172	0.7998	3662	0.0099
ZN11	ZN12	355023	175256	0.7911	0.7942	0.7911	6737	0.019
ZN11	ZN13	368022	180247	0.7885	0.8018	0.7885	6835	0.0186
ZN11	ZN14	357718	178517	0.8038	0.813	0.8038	3355	0.0094
ZN11	ZN15	358013	174259	0.7848	0.802	0.7848	6750	0.0189
ZN11	ZN16	364243	180616	0.7953	0.7962	0.7953	6805	0.0187
ZN11	ZN17	380809	212916	0.8935	0.8703	0.8703	184	0.0005
ZN11	ZN18	369420	185178	0.8069	0.8157	0.8069	3416	0.0092
ZN12	ZN13	346321	187863	0.8722	0.8837	0.8722	155	0.0004
ZN12	ZN14	337611	164099	0.7837	0.7892	0.7837	6394	0.0189
ZN12	ZN15	339077	183638	0.8725	0.8875	0.8725	136	0.0004
ZN12	ZN16	345376	189560	0.8811	0.8783	0.8783	143	0.0004
ZN12	ZN17	355962	179602	0.807	0.7833	0.7833	6703	0.0188
ZN12	ZN18	346662	169204	0.786	0.7912	0.786	6486	0.0187
ZN13	ZN14	348605	168343	0.7903	0.7861	0.7861	6491	0.0186
ZN13	ZN15	350321	188053	0.879	0.8832	0.879	131	0.0004
ZN13	ZN16	356410	194059	0.8859	0.8742	0.8742	126	0.0004
ZN13	ZN17	368259	183514	0.8099	0.7767	0.7767	6730	0.0183
ZN13	ZN18	358880	174025	0.7933	0.7898	0.7898	6520	0.0182
ZN14	ZN15	340705	163534	0.7837	0.7916	0.7837	6414	0.0188
