BG14	0.7437012227284925
BG21	0.710929339743527-

BG20	0.7323856747457737
BG6	0.7035997799293691-

BG24	0.780200298100018
BG3	0.7330391214565694-

HQ10-10	0.1150157210050027-
HQ10-11	0.27244104353114185

HQ10-20	0.19425704997902196
HQ10-21	0.0848421366411396-
HQ10-23	0.17807268516916333
HQ10-24	0.11402746213439925

HQ10-5	0.09706142468020154-
HQ10-6	0.42596016291403593

HQ4-4	0.15785039838970288
HQ6-11	0.10405961926824907
HQ6-9	0.06465845551909007-

HQ6-1	0.2502510172016239
HQ6-3	0.12222077757401038
HQ6-5	0.07919491026689424-
HQ6-6	0.08583117681671444

Kat10	0.20949603577347284-
Kat11	0.40847253545274714

Kat5	0.21439900022377495-
Kat8	0.21722167124902034

Koje-1-5	0.1682766374784917-
Koje02	0.26126190220460827

Nan13	0.6495151382204327
Nan14	0.6168782371590574
Nan9	0.5142697310182991-

Nan16	0.7946339423054076
Nan19	0.3343720093541508-
Nan23	0.3638490373564427
Nan29	0.3696266497426818
Nan30	0.6254392714855076
Nan32	0.7878051530188085
Nan34	0.833539528907112
Nan35	0.5979462985194409

SCI21	0.6919638509492557
SCI22	0.6854285106180954-

SCI24	0.6802992434807799-
SCI28	0.7199517576351535

Yul-1-17	0.2827236144234229
Yul-2-15	0.3608131619922339
Yul-2-18	0.25538841910246535
Yul1-13	0.26725984259278535
Yul1-14	0.24208040556529967
Yul1-15	0.2589820542980299
Yul1-16	0.25898380074443655
Yul2-10	0.2619897107650359
Yul2-14	0.23222470294210498
Yul2-19	0.20885219451791392
Yul2-20	0.2269495615707153
Yul2-21	0.20010263589777388-
Yul2-22	0.45551991732506547
Yul2-5	0.332152459807719
Yul2-8	0.28717962647096174
Yul2-9	0.3041252580776708

Yul-1-19	0.1705439385464115
Yul2-12	0.15084269026465053-

Yul-2-16	0.2739811794662575
Yul2-17	0.19138134213395253-

Yul2-3	0.31925467733966023
Yul2-4	0.2552413039722602-
Yul2-6	0.37876428713803345
