Node label	Matching Sequences
SCI24	SCI24
	SCI9
GX-GM16	GX-GM16
	GX-GM3
	GX-GM45
Nan11	Nan11
	Nan19
BG19	BG19
	BG21
	BG27
	BG29
	BG6
BG10	BG10
	BG11
	BG12
	BG13
	BG15
	BG18
	BG3
	BG7
	SCI2
	SCI23
Yul2-21	Yul2-21
	Yul2-4
GX-GM1	GX-GM1
	GX-GM11
	GX-GM13
	GX-GM20
	GX-GM24
	GX-GM26
	GX-GM29
	GX-GM31
	GX-GM33
	GX-GM35
	GX-GM37
	GX-GM6
	SCI17
XSW1	XSW1
	XSW11
	XSW15
	XSW17
	XSW2
	XSW21
	XSW25
	XSW29
	XSW3
	XSW31
	XSW35
	XSW37
	XSW39
	XSW43
	XSW45
	XSW51
	XSW55
	XSW57
	XSW59
	XSW7
GXPD10	GXPD10
	GXPD12
	GXPD14
	GXPD16
	GXPD17
	GXPD19
	GXPD23
	GXPD26
	GXPD8
	Nan17
	Nan8
	WJR10
	WJR15
	WJR16
	WJR17
	WJR18
	WJR20
	WJR23
	WJR24
	WJR27
	WJR29
	WJR3
	WJR30
	WJR32
	WJR4
	WJR5
	WJR6
	WJR7
	WJR8
	WJR9
SCI15	SCI15
	SCI16
	SCI22
	SCI3
	SCI5
	SCI8
SCI1	SCI1
	SCI4
OKI1	OKI1
	OKI10
	OKI14
	OKI17
	OKI18
	OKI19
	OKI2
	OKI21
	OKI22
	OKI4
	OKI6
	OKI9
Nan9	Nan9
	OKI11
	OKI5
TOK1	TOK1
	TOK21
	TOK7
TOK18	TOK18
	TOK3
	TOK6
DY1-1	DY1-1
	DY1-10
	DY1-5
	DY2-14
	DY2-7
	DYhekou4-1
HQ10-1	HQ10-1
	HQ10-10
	HQ10-5
	HQ10-8
	HQ7-7
DY1-30	DY1-30
	DY2-1
	DY3-13
	DY3-16
	DY3-31
	DY3-38
	DY3-9
	DYhekou2
	DYhekou7-2
DYhekou6-7	DYhekou6-7
	HQ1-3
	HQ10-14
	HQ10-21
	HQ3-1
	HQ5-1
	HQ6-5
	HQ6-8
	HQ6-9
	HQ7-1
	HQ8-3
Koje-1-9	Koje-1-9
	Koje01
	Yul2-17
Yul-2-2	Yul-2-2
	Yul2-11
	Yul2-12
AGO1	AGO1
	AGO10
	AGO11
	AGO13
	AGO16
	AGO18
	AGO21
	AGO26
	AGO3
	AGO31
	AGO6
AGO23	AGO23
	AGO25
	AGO27
	AGO28
AGO5	AGO5
	AGO7
ONN1	ONN1
	ONN2
	ONN24
OHA20	OHA20
	OHA25
	OHA7
	OKI25
	ONN14
	ONN20
	ONN22
	ONN3
	ONN41
	ONN8
Kat10	Kat10
	Kat24
	Kat27
	Kat30
	Kat4
	Kat6
	Kat7
	Kat9
	TOK12
	TOK13
	TOK29
Kat21	Kat21
	Kat22
	Kat25
	Kat26
	Kat29
	Kat3
	Kat5
ONN15	ONN15
	ONN19
	ONN29
	ONN4
TOK5	TOK5
	TOK9
TOK11	TOK11
	TOK17
	TOK25
	TOK27
OHA1	OHA1
	OHA10
	OHA15
	OHA19
	OHA21
	OHA22
	OHA24
	OHA4
	OHA45
OHA18	OHA18
	OHA2
	OHA5
